%

% As used by Kilpatrick, D. & Cameron-Jones, M. (1998). Numeric prediction

% using instance-based learning with encoding length selection. In Progress

% in Connectionist-Based Information Systems. Singapore: Springer-Verlag.

%



@relation 'cpu'

@attribute vendor { adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}

@attribute MYCT real

@attribute MMIN real

@attribute MMAX real

@attribute CACH real

@attribute CHMIN real

@attribute CHMAX real

@attribute GRAPHICS real
@attribute MEMORY real

@attribute games_class real

@data
honeywell,140,2000,4000,0,3,6,1,3,1
honeywell,140,2000,4000,0,4,8,0,1,0
honeywell,140,2000,4000,8,1,20,0,3,1
honeywell,140,2000,32000,32,1,20,1,1,0
honeywell,140,2000,8000,32,1,54,0,3,1
honeywell,140,2000,32000,32,1,54,1,1,1
honeywell,140,2000,32000,32,1,54,0,3,0
honeywell,140,2000,4000,8,1,20,1,2,0
ibm,57,4000,16000,1,6,12,0,4,1
ibm,57,4000,24000,64,12,16,0,4,1
ibm,26,16000,32000,64,16,24,0,2,1
ibm,26,16000,32000,64,8,24,1,4,1
ibm,26,8000,32000,0,8,24,1,3,1
ibm,26,8000,16000,0,8,16,0,3,1
ibm,480,96,512,0,1,1,0,3,0
ibm,203,1000,2000,0,1,5,0,1,1
ibm,115,512,6000,16,1,6,1,4,1
ibm,1100,512,1500,0,1,1,1,1,0
ibm,1100,768,2000,0,1,1,1,3,0
ibm,600,768,2000,0,1,1,1,4,0
ibm,400,2000,4000,0,1,1,1,4,0
ibm,400,4000,8000,0,1,1,0,2,0
ibm,900,1000,1000,0,1,2,1,3,0
ibm,900,512,1000,0,1,2,1,3,1
ibm,900,1000,4000,4,1,2,1,1,1
ibm,900,1000,4000,8,1,2,1,3,0
ibm,900,2000,4000,0,3,6,1,4,1
ibm,225,2000,4000,8,3,6,1,2,0
ibm,225,2000,4000,8,3,6,0,1,1
ibm,180,2000,8000,8,1,6,0,1,0
ibm,185,2000,16000,16,1,6,0,4,0
ibm,180,2000,16000,16,1,6,1,3,0
ibm,225,1000,4000,2,3,6,1,1,1
ibm,25,2000,12000,8,1,4,0,2,0
ibm,25,2000,12000,16,3,5,0,4,0
ibm,17,4000,16000,8,6,12,0,1,1
ibm,17,4000,16000,32,6,12,1,1,0
ibm,1500,768,1000,0,0,0,1,1,0
ibm,1500,768,2000,0,0,0,0,4,0
ibm,800,768,2000,0,0,0,1,2,1
ipl,50,2000,4000,0,3,6,1,3,0
ipl,50,2000,8000,8,3,6,0,3,1
ipl,50,2000,8000,8,1,6,1,3,1
ipl,50,2000,16000,24,1,6,0,4,1
ipl,50,2000,16000,24,1,6,1,3,0
ipl,50,8000,16000,48,1,10,0,3,0
magnuson,100,1000,8000,0,2,6,0,2,1
magnuson,100,1000,8000,24,2,6,1,3,1
magnuson,100,1000,8000,24,3,6,1,3,0
magnuson,50,2000,16000,12,3,16,1,2,1
magnuson,50,2000,16000,24,6,16,0,4,1
magnuson,50,2000,16000,24,6,16,0,4,0
microdata,150,512,4000,0,8,128,1,4,1
nas,115,2000,8000,16,1,3,0,2,1
nas,115,2000,4000,2,1,5,1,2,1
nas,92,2000,8000,32,1,6,1,4,1
nas,92,2000,8000,32,1,6,0,4,1
nas,92,2000,8000,4,1,6,1,4,1
nas,75,4000,16000,16,1,6,1,3,0
nas,60,4000,16000,32,1,6,1,2,1
nas,60,2000,16000,64,5,8,1,4,1
nas,60,4000,16000,64,5,8,0,3,0
nas,50,4000,16000,64,5,10,1,3,0
nas,72,4000,16000,64,8,16,0,1,0
nas,72,2000,8000,16,6,8,0,1,1
nas,40,8000,16000,32,8,16,1,3,0
nas,40,8000,32000,64,8,24,1,4,0
nas,35,8000,32000,64,8,24,1,1,1
nas,38,16000,32000,128,16,32,0,1,1
nas,48,4000,24000,32,8,24,0,1,1
nas,38,8000,32000,64,8,24,0,3,0
nas,30,16000,32000,256,16,24,0,3,0
ncr,112,1000,1000,0,1,4,1,1,0
ncr,84,1000,2000,0,1,6,0,4,0
ncr,56,1000,4000,0,1,6,0,2,1
ncr,56,2000,6000,0,1,8,0,3,1
ncr,56,2000,8000,0,1,8,1,1,1
ncr,56,4000,8000,0,1,8,1,4,1
ncr,56,4000,12000,0,1,8,0,3,1
ncr,56,4000,16000,0,1,8,1,3,0
ncr,38,4000,8000,32,16,32,1,3,0
ncr,38,4000,8000,32,16,32,0,2,1
ncr,38,8000,16000,64,4,8,1,1,0
ncr,38,8000,24000,160,4,8,1,2,1
ncr,38,4000,16000,128,16,32,0,3,1
nixdorf,200,1000,2000,0,1,2,1,2,1
nixdorf,200,1000,4000,0,1,4,1,2,1
nixdorf,200,2000,8000,64,1,5,0,1,1
perkin-elmer,250,512,4000,0,1,7,1,3,0
perkin-elmer,250,512,4000,0,4,7,1,1,1
perkin-elmer,250,1000,16000,1,1,8,0,1,1
prime,160,512,4000,2,1,5,1,2,0
prime,160,512,2000,2,3,8,1,2,1
prime,160,1000,4000,8,1,14,1,2,0
prime,160,1000,8000,16,1,14,1,2,1
prime,160,2000,8000,32,1,13,0,3,0
siemens,240,512,1000,8,1,3,0,2,1
siemens,240,512,2000,8,1,5,0,2,0
siemens,105,2000,4000,8,3,8,0,3,0
siemens,105,2000,6000,16,6,16,0,2,0
siemens,105,2000,8000,16,4,14,0,4,0
siemens,52,4000,16000,32,4,12,0,4,0
siemens,70,4000,12000,8,6,8,0,1,0
siemens,59,4000,12000,32,6,12,0,1,1
siemens,59,8000,16000,64,12,24,0,3,0
siemens,26,8000,24000,32,8,16,0,4,1
siemens,26,8000,32000,64,12,16,0,1,1
siemens,26,8000,32000,128,24,32,0,1,1
sperry,116,2000,8000,32,5,28,0,3,0
sperry,50,2000,32000,24,6,26,1,4,0
sperry,50,2000,32000,48,26,52,1,4,0
sperry,50,2000,32000,112,52,104,1,3,0
sperry,50,4000,32000,112,52,104,0,3,1
sperry,30,8000,64000,96,12,176,1,1,0
sperry,30,8000,64000,128,12,176,0,3,1
sperry,180,262,4000,0,1,3,0,3,0
sperry,180,512,4000,0,1,3,1,2,1
sperry,180,262,4000,0,1,3,1,2,1
sperry,180,512,4000,0,1,3,0,3,1
sperry,124,1000,8000,0,1,8,0,2,1
sperry,98,1000,8000,32,2,8,0,2,0
sratus,125,2000,8000,0,2,14,1,1,0
wang,480,512,8000,32,0,0,0,3,1
wang,480,1000,4000,0,0,0,0,1,0
